#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2020-08-06-15-46-13
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1470864760.966148	CxaRYzwt0FNWIfLX3	10.10.10.108	27388	10.10.10.1	53	udp	dns	0.034014	0	99	SHR	-	-	0	Cd	0	0	1	127	-
1470864760.966155	CVvF2l31119rBORlHd	10.10.10.108	1157	10.10.10.1	53	udp	dns	0.034016	0	79	SHR	-	-	0	Cd	0	0	1	107	-
1470864760.966174	CZ4s632zzhxsErkqah	10.10.10.108	14217	10.10.10.1	53	udp	dns	0.034255	0	103	SHR	-	-	0	Cd	0	0	1	131	-
1470864760.966191	C6ImfB2mxkvXcbLm88	10.10.10.108	59359	10.10.10.1	53	udp	dns	0.093651	0	51	SHR	-	-	0	Cd	0	0	1	79	-
1470864760.966209	CSBdX64CBh3JtvXJo1	10.10.10.108	19379	10.10.10.1	53	udp	dns	0.093885	0	99	SHR	-	-	0	Cd	0	0	1	127	-
1470864765.909547	CINDAO2qkIreWBYaub	10.10.10.108	52158	91.189.88.152	80	tcp	-	0.409904	1	14399	RSTO	-	-	0	^hCadfRR	12	480	17	15471	-
1470864770.919685	CjaKfl4SzPyZyXMKx8	10.10.10.108	52171	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864771.378576	CEyGcj21oDLcMMaHD3	10.10.10.108	52172	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864766.449515	CyH6Bg2OqHZVAiyQr2	10.10.10.108	52159	91.189.88.152	80	tcp	-	0.451618	1	14399	RSTO	-	-	0	^hCadfRR	12	480	17	15469	-
1470864767.109512	CWCIhs4BUuK5JYSwJ8	10.10.10.108	60472	91.189.95.83	80	tcp	-	1.809618	0	0	SHR	-	-	0	^fCa	0	0	2	104	-
1470864771.778478	CzwAbA9wCCrh6TQk4	10.10.10.108	52173	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864767.269536	CliVK6AFGQlJlIMnk	10.10.10.108	38951	120.52.72.19	80	tcp	-	0.143309	0	15574	SHR	-	-	0	^hCadCf	0	0	14	16310	-
1470864767.030369	CNmo8F3iBL6zk470dl	10.10.10.108	52160	91.189.88.152	80	tcp	-	0.457120	1	15552	RSTO	-	-	0	^hCadfRfR	12	480	17	16623	-
1470864772.264058	C1X2Kt4CszxKm6pxva	10.10.10.108	52174	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864767.629557	CGLj903faG1tGxhEn	10.10.10.108	52161	91.189.88.152	80	tcp	-	0.361732	1	211	RSTO	-	-	0	^hCadfRfR	3	120	8	807	-
1470864772.789517	CLMZcu4z6znrEfDBT3	10.10.10.108	52175	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864768.119768	CbGmVS1oiIZuB3uql	10.10.10.108	52163	91.189.88.152	80	tcp	-	4.440283	0	214	SHR	-	-	0	^hCadftC	0	0	10	1546	-
1470864768.449599	CQ5Ftl2y51oLEVc8qb	10.10.10.108	60482	91.189.95.83	80	tcp	-	-	-	-	SHR	-	-	0	^fC	0	0	1	52	-
1470864768.519595	CiXBtHNosrwaAbKk2	10.10.10.108	52164	91.189.88.152	80	tcp	-	2.678035	0	214	SHR	-	-	0	^hCadftC	0	0	9	1281	-
1470864773.230515	CkfKc61uNoDJNpQFdg	10.10.10.108	52176	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864768.919627	CxYKtC2mPrt7rQz1Y5	10.10.10.108	52165	91.189.88.152	80	tcp	-	4.363299	0	212	SHR	-	-	0	^hCadftC	0	0	10	1548	-
1470864773.733960	Covc4gVbbT8oENos7	10.10.10.108	52177	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864763.079533	Ch0X8R1AfxBgu14Lrb	10.10.10.108	45991	120.52.72.21	80	tcp	-	6.150080	0	888899	SHR	-	-	0	^hCadtCCtf	0	0	626	925779	-
1470864774.233923	C1OsnD1UBhl8NCyEak	10.10.10.108	52178	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864769.289617	CsW7iP25G0oYxAYAg6	10.10.10.108	52166	91.189.88.152	80	tcp	-	0.669280	1	422	RSTO	-	-	0	^hCadfRfR	2	80	9	1064	-
1470864770.009613	ClWkwj4QFihtmBUnN1	10.10.10.108	52168	91.189.88.152	80	tcp	-	0.333443	1	210	RSTO	-	-	0	^hCadfRfR	3	120	8	806	-
